State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AL,Alabama,Eclectic town,86.4,11.0,0.4,0.0,1.3,912.0
AL,Alabama,Edgewater CDP,31.0,68.4,0.1,0.0,1.0,905.0
AL,Alabama,Edwardsville town,98.0,0.5,0.0,0.0,0.0,137.0
AL,Alabama,Egypt CDP,94.3,0.9,0.5,0.5,3.3,1254.0
AL,Alabama,Elba city,62.1,34.3,1.2,0.3,1.1,3919.0
AL,Alabama,Elberta town,92.9,1.4,0.3,0.8,5.3,1506.0
AL,Alabama,Eldridge town,97.7,0.8,0.0,0.0,0.0,204.0
AL,Alabama,Elkmont town,85.9,12.7,1.2,0.0,0.0,430.0
AL,Alabama,Elmore town,64.3,26.7,0.1,0.2,8.8,1671.0
AL,Alabama,Emelle town,5.7,94.3,0.0,0.0,0.0,38.0
AL,Alabama,Emerald Mountain CDP,87.1,11.0,0.2,0.6,1.6,2895.0
AL,Alabama,Enterprise city,69.4,20.7,0.5,2.0,8.8,27785.0
AL,Alabama,Epes town,8.9,91.1,0.0,0.0,0.0,137.0
AL,Alabama,Ethelsville town,74.1,25.9,0.0,0.0,0.0,99.0
AL,Alabama,Eufaula city,51.0,44.6,0.5,0.6,4.3,12809.0
AL,Alabama,Eunola CDP,91.4,7.4,0.0,0.4,1.6,421.0
AL,Alabama,Eutaw town,18.1,80.2,0.1,0.4,1.3,2834.0
AL,Alabama,Eva town,96.3,0.0,0.4,0.2,0.4,552.0
AL,Alabama,Evergreen city,34.8,62.4,0.2,0.2,2.3,3842.0
AL,Alabama,Excel town,91.1,5.0,1.4,0.0,0.7,1019.0
AL,Alabama,Fairfield city,4.2,94.6,0.0,0.0,1.1,10987.0
AL,Alabama,Fairford CDP,61.3,17.7,19.9,0.0,0.0,85.0
AL,Alabama,Fairhope city,91.1,6.2,0.2,0.7,2.8,17309.0
AL,Alabama,Fairview town,95.5,0.2,0.0,0.4,11.2,483.0
AL,Alabama,Falkville town,92.1,3.4,1.1,0.1,2.2,1226.0
AL,Alabama,Faunsdale town,67.3,32.7,0.0,0.0,0.0,53.0
AL,Alabama,Fayette city,73.4,24.3,0.3,0.3,1.4,4523.0
AL,Alabama,Fayetteville CDP,97.2,1.3,0.3,0.0,0.3,1257.0
AL,Alabama,Fitzpatrick CDP,78.3,21.7,0.0,0.0,2.4,84.0
AL,Alabama,Five Points town,46.8,52.5,0.0,0.0,0.0,181.0
AL,Alabama,Flomaton town,69.5,27.2,1.6,0.1,2.3,1670.0
AL,Alabama,Florala town,80.1,15.8,0.8,0.4,2.8,1863.0
AL,Alabama,Florence city,75.0,19.4,0.4,1.4,3.6,39855.0
AL,Alabama,Foley city,77.1,14.9,0.6,1.1,9.5,16345.0
AL,Alabama,Forestdale CDP,26.2,71.4,0.2,0.2,1.4,9716.0
AL,Alabama,Forkland town,11.9,87.4,0.2,0.0,0.8,767.0
AL,Alabama,Fort Deposit town,23.7,75.5,0.1,0.1,0.4,1482.0
AL,Alabama,Fort Payne city,77.6,4.2,0.9,0.8,20.9,14112.0
AL,Alabama,Fort Rucker CDP,77.7,11.9,0.8,1.3,13.2,4895.0
AL,Alabama,Franklin town,47.7,49.7,0.0,1.3,0.0,243.0
AL,Alabama,Fredonia CDP,87.9,11.6,0.0,0.0,0.0,385.0
AL,Alabama,Frisco City town,45.4,49.3,1.3,0.0,1.8,1272.0
AL,Alabama,Fruitdale CDP,70.3,28.6,0.0,0.0,1.6,209.0
AL,Alabama,Fruithurst town,98.2,0.0,1.1,0.4,0.0,266.0
AL,Alabama,Fulton town,84.9,11.0,0.0,0.7,3.3,211.0
AL,Alabama,Fultondale city,75.1,16.6,0.4,1.0,10.8,8733.0
AL,Alabama,Fyffe town,94.0,0.3,1.5,0.7,1.3,1358.0
AL,Alabama,Gadsden city,57.3,36.3,0.4,0.6,5.4,36455.0
AL,Alabama,Gainesville town,16.3,82.2,0.0,0.0,0.0,171.0
AL,Alabama,Gallant CDP,96.7,0.2,0.6,0.0,1.6,742.0
AL,Alabama,Gantt town,77.0,23.0,0.0,0.0,0.0,180.0
AL,Alabama,Garden City town,98.2,0.2,0.4,0.0,0.4,374.0
AL,Alabama,Gardendale city,88.4,8.6,0.3,1.2,1.5,13763.0
AL,Alabama,Gaylesville town,96.5,0.0,0.0,0.0,3.5,187.0
AL,Alabama,Geiger town,26.5,73.5,0.0,0.0,2.9,262.0
AL,Alabama,Geneva city,83.2,14.0,0.4,0.4,1.8,4469.0
AL,Alabama,Georgiana town,33.1,65.4,0.3,0.1,0.3,1710.0
AL,Alabama,Geraldine town,93.5,0.3,3.7,0.0,2.0,883.0
AL,Alabama,Gilbertown town,77.2,21.9,0.0,0.5,0.0,191.0
AL,Alabama,Glen Allen town,89.4,9.4,0.2,0.2,0.2,513.0
AL,Alabama,Glencoe city,96.5,1.3,0.3,0.5,0.8,5139.0
AL,Alabama,Glenwood town,70.1,29.9,0.0,0.0,0.0,228.0
AL,Alabama,Goldville town,100.0,0.0,0.0,0.0,5.5,43.0
AL,Alabama,Good Hope town,92.7,0.3,0.4,0.5,7.7,2232.0
AL,Alabama,Goodwater town,24.3,73.7,0.7,0.0,0.7,1537.0
AL,Alabama,Gordo town,58.9,37.8,0.2,0.2,1.5,1680.0
AL,Alabama,Gordon town,21.4,76.5,0.3,0.0,1.5,275.0
AL,Alabama,Gordonville town,5.2,94.8,0.0,0.0,0.0,278.0
AL,Alabama,Goshen town,76.7,22.6,0.4,0.0,0.0,356.0
AL,Alabama,Graham CDP,83.9,16.1,0.0,0.0,0.0,332.0
AL,Alabama,Grand Bay CDP,86.9,9.4,0.6,0.7,2.3,3501.0
AL,Alabama,Grant town,98.1,0.0,0.0,0.4,1.3,956.0
AL,Alabama,Grayson Valley CDP,70.6,25.8,0.3,0.9,2.2,5160.0
AL,Alabama,Graysville city,73.9,23.6,0.4,0.2,1.7,2149.0
AL,Alabama,Greensboro city,32.0,66.5,0.2,0.8,0.5,2485.0
AL,Alabama,Greenville city,41.7,55.5,0.0,1.8,1.3,7912.0
AL,Alabama,Grimes town,55.9,36.7,0.0,0.0,2.9,570.0
AL,Alabama,Grove Hill town,56.6,41.3,0.3,0.3,2.0,1716.0
AL,Alabama,Guin city,86.9,10.9,0.0,0.1,1.3,2351.0
AL,Alabama,Gulfcrest CDP,88.2,3.1,5.6,0.0,1.2,207.0
AL,Alabama,Gulf Shores city,93.4,1.5,0.5,0.9,4.0,10703.0
AL,Alabama,Guntersville city,85.8,7.8,0.5,1.5,3.8,8326.0
AL,Alabama,Gurley town,76.3,17.1,1.7,1.2,3.5,691.0
AL,Alabama,Gu-Win town,85.8,5.1,4.0,0.0,4.0,126.0
AL,Alabama,Hackleburg town,97.7,0.1,0.2,0.0,1.3,1444.0
AL,Alabama,Hackneyville CDP,97.7,0.9,0.3,1.2,0.3,381.0
AL,Alabama,Haleburg town,94.2,4.9,0.0,0.0,0.0,96.0
AL,Alabama,Haleyville city,92.1,0.7,1.0,0.5,6.0,4068.0
AL,Alabama,Hamilton city,89.3,7.7,0.4,0.2,3.1,6814.0
